Driver,Team,LapNumber,LapTime,Position,Stint,TyreLife,Compound,FreshTyre,TrackStatus,PitInTime,PitOutTime,IsAccurate,TrackTemp,AirTemp,Humidity,Rainfall,IsInLap,IsOutLap,IsSC,IsVSC,Year,StartingPosition,LapTimeDelta,LapTime_lag1,LapTime_lag2,LapTime_lag3,PaceVsMedian,FuelLoad,GroudEffectEra,IsRestartLap
BOT,Mercedes,36.0,143.463,1.0,2.0,15.0,MEDIUM,True,4,,,False,49.4,27.6,38.4,False,False,False,True,False,2018,4.0,-2.2580000000000098,145.721,119.767,92.795,2.549999999999983,0.3076923076923077,False,True
BOT,Mercedes,37.0,140.539,1.0,2.0,16.0,MEDIUM,True,41,,,False,47.9,27.2,39.6,False,False,False,True,False,2018,4.0,-2.9240000000000066,143.463,145.721,119.767,4.315999999999974,0.28846153846153844,False,True
BOT,Mercedes,38.0,91.792,1.0,2.0,17.0,MEDIUM,True,124,,,False,48.9,27.1,39.4,False,False,False,True,False,2018,4.0,-48.746999999999986,140.539,143.463,145.721,-9.289000000000001,0.2692307692307692,False,True
BOT,Mercedes,39.0,149.372,1.0,2.0,18.0,MEDIUM,True,4,,,False,51.4,27.4,39.2,False,False,False,True,False,2018,4.0,57.58000000000001,91.792,140.539,143.463,5.908500000000004,0.25,False,True
BOT,Mercedes,40.0,145.353,1.0,2.0,19.0,MEDIUM,True,4,,,False,52.1,27.4,38.9,False,False,False,True,False,2018,4.0,-4.0190000000000055,149.372,91.792,140.539,0.47500000000002274,0.23076923076923078,False,True
BOT,Mercedes,41.0,143.053,1.0,2.0,20.0,MEDIUM,True,41,,,False,51.9,27.4,39.2,False,False,False,True,False,2018,4.0,-2.3000000000000114,145.353,149.372,91.792,3.1699999999999875,0.21153846153846154,False,True
BOT,Mercedes,42.0,91.873,1.0,2.0,21.0,MEDIUM,True,1,,,True,51.9,27.4,39.3,False,False,False,False,False,2018,4.0,-51.17999999999999,143.053,145.353,149.372,-3.2549999999999955,0.19230769230769232,False,True
BOT,Mercedes,43.0,91.377,1.0,2.0,22.0,MEDIUM,True,1,,,True,49.4,27.4,39.2,False,False,False,False,False,2018,4.0,-0.4960000000000093,91.873,143.053,145.353,-2.798000000000002,0.17307692307692307,False,False
BOT,Mercedes,44.0,93.151,1.0,2.0,23.0,MEDIUM,True,1,,,True,48.8,27.4,39.2,False,False,False,False,False,2018,4.0,1.774000000000001,91.377,91.873,143.053,-0.8170000000000073,0.15384615384615385,False,False
BOT,Mercedes,45.0,92.233,1.0,2.0,24.0,MEDIUM,True,1,,,True,49.8,27.1,39.6,False,False,False,False,False,2018,4.0,-0.9179999999999922,93.151,91.377,91.873,-1.7980000000000018,0.1346153846153846,False,False
BOT,Mercedes,46.0,91.805,1.0,2.0,25.0,MEDIUM,True,12,,,True,50.2,27.3,39.0,False,False,False,False,False,2018,4.0,-0.42799999999999727,92.233,93.151,91.377,-2.3119999999999976,0.11538461538461539,False,False
BOT,Mercedes,47.0,93.411,2.0,2.0,26.0,MEDIUM,True,21,,,True,51.0,27.4,38.8,False,False,False,False,False,2018,4.0,1.6059999999999945,91.805,92.233,93.151,-0.375,0.09615384615384616,False,False
BOT,Mercedes,48.0,93.203,3.0,2.0,27.0,MEDIUM,True,21,,,True,50.5,27.7,38.1,False,False,False,False,False,2018,4.0,-0.2079999999999984,93.411,91.805,92.233,-0.26550000000000296,0.07692307692307693,False,False
BOT,Mercedes,49.0,94.06,4.0,2.0,28.0,MEDIUM,True,1,,,True,51.5,27.7,38.1,False,False,False,False,False,2018,4.0,0.8569999999999993,93.203,93.411,91.805,0.13599999999999568,0.057692307692307696,False,False
BOT,Mercedes,50.0,92.299,4.0,2.0,29.0,MEDIUM,True,1,,,True,51.6,27.6,38.2,False,False,False,False,False,2018,4.0,-1.7609999999999957,94.06,93.203,93.411,-1.5840000000000032,0.038461538461538464,False,False
BOT,Mercedes,51.0,92.209,4.0,2.0,30.0,MEDIUM,True,1,,,True,51.8,27.6,37.3,False,False,False,False,False,2018,4.0,-0.09000000000000341,92.299,94.06,93.203,-1.4114999999999895,0.019230769230769232,False,False
BOT,Mercedes,52.0,92.248,4.0,2.0,31.0,MEDIUM,True,1,,,True,51.8,27.9,37.4,False,False,False,False,False,2018,4.0,0.03900000000000148,92.209,92.299,94.06,-1.4719999999999942,0.0,False,False
ERI,Sauber,2.0,97.975,14.0,1.0,1.0,SOFT,True,12,,,True,53.1,27.1,38.7,False,False,False,False,False,2018,15.0,,,,,1.2374999999999972,0.9615384615384616,False,False
ERI,Sauber,3.0,96.953,15.0,1.0,2.0,SOFT,True,12,,,True,53.0,27.4,38.7,False,False,False,False,False,2018,15.0,-1.0219999999999914,97.975,,,1.5450000000000017,0.9423076923076923,False,False
ERI,Sauber,4.0,96.287,15.0,1.0,3.0,SOFT,True,1,,,True,52.6,27.2,39.4,False,False,False,False,False,2018,15.0,-0.6659999999999968,96.953,97.975,,0.882000000000005,0.9230769230769231,False,False
ERI,Sauber,5.0,96.315,15.0,1.0,4.0,SOFT,True,1,,,True,53.1,27.0,39.5,False,False,False,False,False,2018,15.0,0.027999999999991587,96.287,96.953,97.975,0.625,0.9038461538461539,False,False
ERI,Sauber,6.0,95.706,15.0,1.0,5.0,SOFT,True,1,,,True,53.3,27.5,38.7,False,False,False,False,False,2018,15.0,-0.6089999999999947,96.315,96.287,96.953,0.0,0.8846153846153846,False,False
ERI,Sauber,7.0,96.277,15.0,1.0,6.0,SOFT,True,1,,,True,53.5,27.5,38.4,False,False,False,False,False,2018,15.0,0.570999999999998,95.706,96.315,96.287,0.4480000000000075,0.8653846153846154,False,False
ERI,Sauber,8.0,96.408,15.0,1.0,7.0,SOFT,True,1,,,True,53.1,27.3,38.4,False,False,False,False,False,2018,15.0,0.13100000000000023,96.277,95.706,96.315,0.8370000000000033,0.8461538461538461,False,False
ERI,Sauber,9.0,96.291,15.0,1.0,8.0,SOFT,True,1,,,True,52.7,26.9,39.8,False,False,False,False,False,2018,15.0,-0.11700000000000443,96.408,96.277,95.706,0.5789999999999935,0.8269230769230769,False,False
ERI,Sauber,10.0,96.418,15.0,1.0,9.0,SOFT,True,1,,,True,52.7,26.9,40.1,False,False,False,False,False,2018,15.0,0.12700000000000955,96.291,96.408,96.277,0.39000000000000057,0.8076923076923077,False,False
ERI,Sauber,11.0,96.072,15.0,1.0,10.0,SOFT,True,1,,,True,52.9,26.9,40.7,False,False,False,False,False,2018,15.0,-0.34600000000000364,96.418,96.291,96.408,0.5080000000000098,0.7884615384615384,False,False
